"#","Name","Atoll","Island","Rooms","Beds","Phone","Fax","Email","Resort Phone","Resort Fax","Resort Email","Operator","Owner/Lesse","Management","State"
"1","Aanugandu Island Resort","Kaafu","Aanugan'du Finolhu and Aanugan'du Huraa","384","768","3339992","","shrikant@atmospherehotelsandresorts.com","4000022","4000022","info@ailafushi@colorsofoblu.com","Promonant Pvt Ltd 
H. Aage, 6th Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Aqua Blue Investments Pvt Ltd 
M. Mirihimaage
3A, Kulhidhoshumagu
Male', Republic of Maldives","Atmosphere Core (BVI) Ltd 
H. Aage, 3rd Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"19","Banyan Tree Maldives Vabbinfaru","Kaafu","Vabbinfaru","48","96","(65)8495888
6643147","(65)4620186
6643147","mohamed.naeem@banyantree.com","960 664 3147","","reservations-vabbinfaru@banyantree.com","Vabbinvest Maldives Pvt. Ltd, 
 K. Vabbinfaru 
 c/o 211 Upper Bukit Timah Road
 Singapore 588182","Vabbinvest Maldives Pvt. Ltd, 
K. Vabbinfaru 
 c/o 211 Upper Bukit Timah Road
 Singapore 588182","Banyan Tree Resorts Ltd","Operating"
"20","Baros Maldives","Kaafu","Baros","75","150","3323080
6642672","3320274
3322678","info@baros.com; sales@unient.com.mv","664 26 72","664 26 72","reservations@baros.com","Universal Enterprises Pvt Ltd
M. No. 39, Orchid Magu
Male', Republic of Maldives","Universal Enterprises Pvt Ltd
M. No. 39, Orchid Magu
Male', Republic of Maldives","-","Operating"
"21","Bolifushi Island Resort","Kaafu","Bolifushi","114","228","7964481 / 3339992 / 3317526","","muaz@alephpropertiesltd.com","6642020 / 7937070","6642020 / 7937070","reservations@ozenreserve-bolifushi.com","Alpha Property (BVI)Limited 
Mill Mall, Suite 6
Wickhams Cay1, P.O. Box 3085, British Virgin Islands","Gateway Maldives Pvt. Ltd 
H. Mirihi 
Abadhah Ufaa Magu
Male', Republic of Maldives","Atmosphere Core (BVI) Ltd 
03rd Floor, H. Aage 
12, Boduthakurufaanu Magu
Male', Republic of Maldives
www.ozenreserve-bolifushi.com","Operating"
"22","Brennia Kottefaru","Raa","Kottefaru","145","290","4002022","","info@brennia.com","4002022","","info@brennia.com","Brennia Maldives Pvt Ltd 
G. Gevadige
Faashanaakilege Magu 
Male', Republic of Maldives","ABN Pvt Ltd 
M. Uniya Building 
Fareedhee Magu 
Male', Republic of Maldives","Brennia Maldives Pvt Ltd 
G. Gevadige
Faashanaakilege Magu 
Male', Republic of Maldives","Operating"
"23","Canareef Resort Maldives","Seenu","Herethere","271","542","689-6677","689-3377","info@canareef.com

Website: https://canareef.com/","689-6677 / 689-3377","-","info@canareef.com","Canaries Resorts Maldives Pvt Ltd
M. Marina Building, 5th floor
Koli Umar Manik Goalhi 
Male’, Republic of Maldives","Canaries Pte. Ltd. 
63 UBI Avenue 1 #06-01, 
Singapore 408937","-","Operating"
"24","Centara Mirage Lagoon Maldives & Centara Grand Lagoon Maldives","Kaafu","4°19’0.85”N73°20’43.59”E","416","832","","","","4015555","4015555","cmlm@chr.co.th","Lagoon Assets Private Limited 
H. Shah, Hussain & Co. Barristers and Attorneys, 6th Floor, Aage,Boduthakurufaanu Magu, 
Male', Republic of Maldives","Lagoon Assets Private Limited
H. Shah, Hussain & Co. Barristers and Attorneys, 6th Floor, Aage,Boduthakurufaanu Magu, 
Male', Republic of Maldives","-","Operating"
"25","Centara Ras Fushi Resort & Spa","Kaafu","Giraavaru","140","280","3306566","3309796","sales@chr.co.th; crf@chr.co.th","664 3880","664 3880","crf@chr.co.th","Centara Maldives Pvt. Ltd. 
C/O. SHAH, HUSSAIN & CO. Barristers and Attorneys, 
H. Aage, 6th Floor,
Boduthakurufaanu Magu, Male', Republic of Maldives","Legal Heirs of Late Mr. Abdul Rauf, M. Snow Rose, Male', Republic of Maldives:

1. Aishath Shareef 
G. Summer Rose, Male', Republic of Maldives
2. Aminath Rifna
G. Nasru Villa, Male', Republic of Maldives
3. Fathimath Anoosha 
M. Snow Rose, Male', Republic of Maldives
4. Aminath Faghiya
M. Snow Rose, Male', Republic of Maldives
5. Aishath Zeeliya 
M. Snow Rose, Male', Republic of Maldives
6. Hussain Shahee
M. Snow Rose, Male', Republic of Maldives
7. Mariyam Leeshiya 
M. Snow Rose, Male', Republic of Maldives
8. Ahmed Affan Abdul Rauf 
Dew Berry, Male', Republic of Maldives
9. Luyuna Abdul Rauf 
Dew Berry, Male', Republic of Maldives","-","Operating"
"26","Cheval Blanc Randheli","Noonu","Randheli","60","120","330 5590","331 5590","info@int.com.mv","656 1515","656 1515","info.randheli@chevalblanc.com","I & T Management Pvt Ltd 
H. Bonthi Villa, Level 2, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","I & T Management Pvt Ltd 
H. Bonthi Villa, Level 2, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","","Operating"
"27","Cinnamon Dhonveli Maldives","Kaafu","Kanuoiy Huraa","148","296","3326219
3313738","3326264","jkmr@keells.com.mv","6640055","6640055","dhonveli@cinnamonhotels.com","Tranquility Pvt Ltd 
G. Kelam 4th Floor, 
Hithaffinivaa Magu, 
Male', Republic of Maldives","Tranquility Pvt Ltd
G. Kelam 4th Floor, 
 Magu, 
Male', Republic of Maldives","Sublessee:
John Keells Maldivian Resorts Pvt Ltd 
Address: G. Kelam 4th Floor,
Hithaffinivaa Magu, 
Male', Republic of Maldives","Operating"
"28","Cinnamon Hakuraa Huraa Maldives","Meemu","Hakuraahuraa","100","200","3313738
3332867","3326264","manager@maleoffice.com.mv","672-6000","672-6000","hakura@cinnamonhotels.com / resorts@cinnamonhotels.com","Fantasea World Investments Pvt. Ltd.
G. Kelam 4th Floor, 
Hithaffinivaa Magu, 
Male', Republic of Maldives","Fantasea World Investments Pvt. Ltd.
G. Kelam 4th Floor, 
Hithaffinivaa Magu, 
Male', Republic of Maldives","-","Operating"
"29","Cinnamon Velifushi Maldives","Vaavu","Aarah","90","180","3336000","3326264","velifushi@cinnamonhotels.com","6706000","6706000","manager@maleoffice.com.mv","Tranquility Pvt. Ltd. 
2nd Floor H. Maizan, Sosun Magu
Male', Republic of Maldives","Aaarah Investment Pvt Ltd 
M. Omadu Fannu (2nd Floor)
Male', Republic of Maldives","","Operating"
"30","Club Med Finolhu Villas","Kaafu","Gasfinolhu","52","104","3314149
6642078","3314150
6645941","kanvcrec01@clubmed.com","660 8800","660 8800","kanvcrec01@clubmed.com","Maldivian Holiday Villages Private Ltd
Club Med Kanifinolhu, 
Kaafu Atoll, 
PO Box 2051, 
Male', Republic of Maldives","Global Pvt Ltd
Champa Building, 3rd Floor
Kandi Dhon Manik Goalhi
Male', Rep.. of Maldives","-","Operating"
"31","Club Med Kanifinolhu","Kaafu","Kanifinolhu","272","544","332 2451","332 3523","info@cyprea.com.mv","6644859 / 6643152","","info@cyprea.com.mv / kancplan01@clubmed.com","Maldivian Holiday Villages Ltd  (On Behalf of Club Mediterrannee S. A) (FC-0007/2012)
11 Rue De Cambrai
75957 Paris Cedex 19, France","Cyprea Pvt. Ltd. (436)
66/17 Boduthakurufaanu Magu
Male', Republic of Maldives","","Operating"
"32","Coco Bodu Hithi","Kaafu","Boduhithi","100","200","3324658
3336611","3325542
3336622","sunland@dhivehinet.net.mv","","","reservations@cococollection.com","Sunland Hotels Pte. Ltd.
H. Moonlit Villa
Medhuziyaaraiy Magu
Male', Republic of Maldives","Shinetree Holdings Pvt Ltd.(C-0198/1994)
Oceanic Building
No.7 Boduthakurufaanu Magu 
Male', Republic of Maldives","","Operating"
"33","Coco Palm Dhunikolhu","Baa","Dhunikolhu","98","196","332 4658
 333 6611
 6600011","332 5542
 333 6622","sunland@dhivehinet.net.mv","6646600","","reservations@cococollection.com","Sunland Hotels Pte. Ltd.
#04-01, STO Trade Center,
Orchid Magu
Male', Republic of Maldives","Sunland Hotels Pte. Ltd.
#04-01, STO Trade Center, 
Orchid Magu
Male', Republic of Maldives
sunland@dhivehinet.net.mv","","Operating"
"34","Cocoa Island","Kaafu","Makunufushi","33","66","6641818","6641919","oscar.perez@comohotels.com","6641818","","res.cocoaisland@comohotels.com","Orchid Resorts Management Pvt. Ltd.
H. Deens Villa, Meheli Goalhi
Male', Republic of Maldives","Ahmed Fayaz Waheed
Shaamilaa Abdulla
Mohamed Niyaz Waheed
Aminath Riyaaza Waheed
Aishath Shiyaaza Waheed
Fathmath Shifaza waheed
Hawwa Hifaza Waheed
Ibrahim Shiyaz Waheed
Hassan Mafaz Waheed
mariyam Ali
M. Sosunmaage, Male'
(Legal Heirs of the late Abdulla Waheed,
 M. Sosunmaage)","","Operating"
"35","Cocogiri Island Resort","Vaavu","Vashugiri","40","80","7893579 / 7932230","","vashugirimaldives@gmail.com
http://www.cocogiri.com/","+9606709998 / +9606709998","","info@cocogiri.com","Vashugiri Pvt Ltd
M. Anchorage, 1st Floor
Shaheed Ali Hingun
Male', Republic of Maldives","Vashugiri Pvt Ltd
M. Anchorage, 1st Floor
Shaheed Ali Hingun
Male', Republic of Maldives","","Operating"
"36","Cocoon Maldives","Lhaviyani","Ookolhu Finolhu","151","302","3016888","3016800","info@cocoonmaldives.com","301 6800","","info@cocoonmaldives.com","Cocoon Investments Pvt Ltd 
H. Sonary, 2nd Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Cocoon Investments Pvt Ltd 
H. Sonary, 2nd Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","","Operating"
"37","Como Maalifushi","Thaa","Male'fushi","76","152","6780008
7778684","6780009","email@reefinvest.com
sawad.plc@gmail.com","6780009","6780009","benjamincruez@comohotels.com / res.maalifushi@comohotels.com","I.V.P.L Investment Ventures Pvt. Ltd 
H. #04-01, Millennia Tower,
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","I.V.P.L Investment Ventures Pvt. Ltd.
H. #04-01, Millennia Tower,
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","-","Operating"
"38","Conrad Maldives Rangali Island","Alifu Dhaalu","Rangalifinolhu","176","352","3013211 / 7779779","-","shahdy@suoodanwar.com
lamaan@suoodanwar.com","6680629 / 9309999","6680629 / 9309999","mlehi.maldives@conradhotels.com","Maldives Property Holdings Pvt Ltd
H. #02-01, Millennia Tower, 
10 Ameer Ahmed Magu
Male', Republic of Maldives","Maldives Property Holdings Pvt Ltd
H. #02-01, Millennia Tower, 
10 Ameer Ahmed Magu
Male', Republic of Maldives","Hilton International Manage (Maldives) Pvt Ltd
H. Aage, 06th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"39","Constance Halaveli Resort","Alifu Alifu","Halaveli","86","172","3343613
3343614","3343615","officemgr@halaveli.com","666 7000","666 7000","resa@constancehotels.com","The Waterfront Pvt Ltd .
2nd Floor, H.Thandiraiymaage
Roashanee Magu
Male', Republic of Maldives","Ari Atoll Services Ltd (FC)
C/O Multiconsult Limited, 
Les Cascades Building, 
Edith Cavell Street, 
Port Louis Mauritius","Constance Hotels International Services Ltd (FC)
C/o ECS Global Ltd, 3rd Floor, 
Labama House, 
Sir William Newton Street, 
Port Louis Mauritius","Operating"
"40","Constance Moofushi Resort","Alifu Dhaalu","Moofushi","110","220","333 3644
668 0517","331 5453
668 0509","ea@moofushiresort.com
www.moofushiresort.com","668 05 09","","mkt@constancehotels.com","Moofushi Development Ltd.
10, Frere Felix de Valois Street
Port Loius, Mauritius
c/o Shah Hussain & Co.
12, Boduthakurufaanu Magu
2nd Floor (East Wing) H.Aage
Male', Rep. of Maldives","Moofushi Investments Pvt. Ltd.
Yaagoothuge, Muniyaa Magu
Male'Republic of Maldives","","Operating"
"41","Cora Cora Maldives","Raa","Maamigili","106","212","3344911","","info@coracoraresorts.com","","","info@coracoraresorts.com","HMM Pvt Ltd 
H. Millennia Tower 
10, Ameer Ahmed Magu 
Male', Republic of Maldives","Legal Heirs of Late Ahmed Waheed
G. Vaffushi  
Male', Republic of Maldives","","Operating"
"42","Dhawa Ihuru","Kaafu","Ihuru","45","90","6658205","(65)4620186
6645933","mohamed.naeem@banyantree.com","960 664 3502","960 664 3502","reservations-ihuru@angsana.com","Maldives Angsana Pvt Ltd 
M. Gulfaamuge, 04th Floor
Fareedhee Magu
Male', Republic of Maldives","Ihuru Investments Pvt Ltd 
Ma. Rimkhaa, Ground Floor
Dhilbahaaru Goalhi,
Male', Republic of Maldives","Banyan Tree Resorts Ltd
China Insurance Group Building, 2401, 24th floor, 141 Des Voeux Road Central, Hong Kong","Operating"
"43","Dheruhfinolhu by Jawakara Islands Maldives","Lhaviyani","Dheruhfinolhu","93","186","7785035","-","reservations@jawakara.com","6629999","6628888","","Champalars Holdings Pvt Ltd 
M. Champa Building 4th Floor, 
Kandi Dhonmaniku Goalhi, 
Male', Republic of Maldives","Champalars Holdings Pvt Ltd 
M. Champa Building 4th Floor, 
Kandi Dhonmaniku Goalhi, 
Male', Republic of Maldives","-","Operating"
"44","Dhiggiri Tourist Resort","Vaavu","Dhiggiri","61","122","3323214","","reservations@dhiggiriresort.com","6700593","6700593","reservations@dhiggiriresort.com",""Dhiggiri Investment Pte Ltd. 
Opera Building, Chaandhanee Magu
Male', Republic of Maldives"",""Dhiggiri Investment Pte Ltd.
Opera Building, Chaandhanee Magu
Male', Republic of Maldives
mmtours@dhivehinet.net.mv"","","Operating"
"45","Dhigufaru Island Resort","Baa","Dhigufaruvinagandu","85","170","3302656","3330804","info@dhigufaru.com","660-2656","660-2656","reservations@dhigufaru.com","Dhigufaru Investments Pvt Ltd 
M. Huraa
Fareedhee Magu
Male', Republic of Maldives","Dhigufaru Investments Pvt Ltd 
M. Huraa
Fareedhee Magu
Male', Republic of Maldives","","Operating"
"46","Diamonds Athuruga Beach & Water Villas","Alifu Dhaalu","Athurugau","72","144","3323617","3325336","info@voyages.com","6680508","6680508","es.athuruga@diamonds-resorts.comiinfo@voyagesmaldives.com","F & P Worlds Sporting & Hotel Pvt Ltd 
M. No. 2, 
Fareedhee Magu, 
Male', Republic of Maldives","Voyages Maldives Pvt Ltd 
M. Narugis,
Chandhanee Magu,
Male', Republic of Maldives","F & P Worlds Sporting and Hotel Private
Limited 
M. No. 2, 
Fareedhee Magu
Male', Republic of Maldives","Operating"
"47","Diamonds Thudufushi Beach and Water Villas","Alifu Dhaalu","Thundufushi","72","144","332 5349
332 3617","332 5336","info@seagull.com.mv","6680583","6680583","info.thudufushi@diamonds-resorts.com","Seagull Group Pvt. Ltd.
Narugis, 
Chaandhanee Magu
Male', Republic of Maldives","Seagull Group Pvt. Ltd.
Narugis, 
Chaandhanee Magu
Male', Republic of Maldives","-","Operating"
"48","Dreamland - The Unique Sea & Lake Resort/Spa","Baa","Hirundhoo","90","180","3313523","3313522","info@happymarket.com.mv","660-0101","660-0101","reservations@dreamland.com.mv","Angiri Joint Venture Pvt Ltd 
M. Newport, 
Ameenee Magu, 
Male', Republic of Maldives","Angiri Joint Venture Pvt Ltd 
M. Newport, 
Ameenee Magu, 
Male', Republic of Maldives","-","Operating"
"49","Drift Theluveliga Retreat","Alifu Dhaalu","Theluveliga","30","60","3347777","3347887","info@driftretreat.com
hawwa.shakeela@theluveligaretreat.com
nabeel.hilmy@castawaymaldives.com","6680668","6680668","info@driftretreat.com","Theluveliga Retreat Pvt Ltd 
Ma. Vahaari, 
Javaahiru Goalhi, 
Male', Republic of Maldives","Theluveliga Retreat Pvt Ltd 
Ma. Vahaari, 
Javaahiru Goalhi, 
Male', Republic of Maldives","-","Operating"
"50","Dusit Thani Maldives","Baa","Mudhdhoo","104","208","660 8888","660 9999","bhanwar.ratore@dusit.com","6608888","6608888","bhanwar.rathore@dusit.comresmaldives@dusit.com","Dusit Maldives Management Pvt Ltd,  
H. #02-01, Millenia Tower, 
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","Dusit Maldives Investment Pvt Ltd,
H. #02-01, Millenia Tower, 
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","Dusit Worldwide Maldives Pvt Ltd,  
H. #02-01, Millenia Tower, 
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","Operating"
"51","dusitD2","Kaafu","Feydhoo Finolhu","69","138","6689988","-","https://www.dusit.com/","6689988","-","resd2md@dusit.com","Pearl Atoll Pvt Ltd 
H-Block 3.5, First Floor, Feydhoo Finolhu, Kaafu Atoll, Republic of Maldives","Pearl Atoll Pvt Ltd 
H-Block 3.5, First Floor, Feydhoo Finolhu, Kaafu Atoll, Republic of Maldives","Dusit Worldwide Maldives Pvt Ltd
H. #02-01, Millennia Tower 10, 
Ameer Ahmed Magu, 
Male', Republic of
Maldives","Operating"
"52","Ellaidhoo Maldives By Cinnamon","Alifu Alifu","Ellaidhoo","112","224","331 3738
333 2867","332 6264","resorts@cinnamonhotels.com","666 0514","","ellaidhoo@cinnamonhotels.com","Travel Club Pvt. Ltd. 
H. Maizaan, 2nd Floor
Sosun Magu
Male', Republic of Maldives","Ellaidhoo Investments Pvt Ltd
5A STO Aifaanu Building, 
Boduthakurufaanu Magu Male', Republic of Maldives","","Operating"
"53","Embudhu Village","Kaafu","Embudhu","118","236","3322212
3318005","3318057","kaimoo@dhivehinet.net.mv","664 4776.","664 4776.","gm@embudhuvillage.com / sales@embudhuvillage.com.mv","Kaimoo Travels & Hotels Services Pvt. Ltd.
H. Maagala, 
Meheli Goalhi
Male', Republic of Maldives","Kaimoo Travels & Hotels Services Pvt. Ltd.
H. Maagala, 
Meheli Goalhi
Male', Republic of Maldives","-","Operating"
"54","Emerald Faarufushi Resort & Spa","Raa","Faarufushi","88","176","6582100","","gm@emerald-faarufushi.com","6588000","","info@emeraldmaldives-seana.com","Fasmendhoo Pvt Ltd 
H. Aage, 6th Floor, 
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Fasmendhoo Pvt Ltd 
H. Aage, 6th Floor, 
12 Boduthakurufaanu Magu
Male', Republic of Maldives","","Operating"
"55","Emerald Maldives Resort & Spa Fasmendho","Raa","Fasmendhoo","143","286","6582100","-","gm@emerald-maldives.com","6582100","6582100","tscarapicchia@fasmendhoo.com / reservations@emerald-maldives.com","Emil Resort Pvt Ltd 
H. Aage, 06th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Emil Resort Pvt Ltd
H. Aage, 06th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Seana S.R.L (FC)
C/O Shah Hussain & CO Barristers and Attorneys, 
H. Aage, 12 (6th Floor),
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Operating"
"56","Eri Maldives","Kaafu","Eriyadhu","76","152","9130614","-","reservations@eriyadumaldives.com","6644487","6644487","reservations@eriyadumaldives.com","Eri Holdings Pvt Ltd 
M. Kaneeru Villa, 4th Floor,
Orchid Magu, 
Male’, Republic of Maldives","Eri Holdings Pvt Ltd 
M. Kaneeru Villa, 4th Floor,
Orchid Magu, 
Male’, Republic of Maldives","-","Operating"
"57","Fihaalhohi Maldives","Kaafu","Fihaalhohi","150","300","3006876","3006879","info@fehimoorithi.com","664 2903","664 2903","info@fihalhohi.com.mv","Fehi Moorithi Pvt Ltd 
6th Floor, Moorithi Buiding 
Chaandhanee Magu
Male', Republic of Maldives","Fehi Moorithi Pvt Ltd 
6th Floor, Moorithi Buiding 
Chaandhanee Magu
Male' City, Republic of Maldives","","Operating"
